Scenario,Episode,Result,Steps,Final_HP,Is_Success,Is_Flow,Real_Time_Sec
1. Static Maze (No Agent),1,flow_success,52,3,1,1,0.0217
1. Static Maze (No Agent),2,flow_success,60,3,1,1,0.0254
1. Static Maze (No Agent),3,flow_success,52,3,1,1,0.0204
1. Static Maze (No Agent),4,flow_success,56,3,1,1,0.0234
1. Static Maze (No Agent),5,flow_success,60,3,1,1,0.026
1. Static Maze (No Agent),6,too_fast,36,3,1,0,0.0117
1. Static Maze (No Agent),7,flow_success,56,3,1,1,0.0231
1. Static Maze (No Agent),8,too_fast,44,3,1,0,0.0158
1. Static Maze (No Agent),9,too_fast,36,3,1,0,0.0117
1. Static Maze (No Agent),10,too_fast,44,3,1,0,0.0153
1. Static Maze (No Agent),11,too_fast,40,3,1,0,0.0137
1. Static Maze (No Agent),12,flow_success,84,3,1,1,0.0447
1. Static Maze (No Agent),13,too_fast,28,3,1,0,0.0082
1. Static Maze (No Agent),14,flow_success,88,3,1,1,0.0456
1. Static Maze (No Agent),15,flow_success,88,3,1,1,0.0485
1. Static Maze (No Agent),16,flow_success,72,3,1,1,0.0342
1. Static Maze (No Agent),17,flow_success,80,3,1,1,0.0407
1. Static Maze (No Agent),18,too_fast,32,3,1,0,0.01
1. Static Maze (No Agent),19,too_fast,44,3,1,0,0.0158
1. Static Maze (No Agent),20,flow_success,52,3,1,1,0.0209
1. Static Maze (No Agent),21,flow_success,68,3,1,1,0.035
1. Static Maze (No Agent),22,flow_success,84,3,1,1,0.0442
1. Static Maze (No Agent),23,flow_success,52,3,1,1,0.0208
1. Static Maze (No Agent),24,too_fast,36,3,1,0,0.0117
1. Static Maze (No Agent),25,flow_success,68,3,1,1,0.0319
1. Static Maze (No Agent),26,flow_success,84,3,1,1,0.0449
1. Static Maze (No Agent),27,flow_success,64,3,1,1,0.0298
1. Static Maze (No Agent),28,flow_success,52,3,1,1,0.0192
1. Static Maze (No Agent),29,too_fast,44,3,1,0,0.0157
1. Static Maze (No Agent),30,too_fast,48,3,1,0,0.0175
1. Static Maze (No Agent),31,flow_success,84,3,1,1,0.0468
1. Static Maze (No Agent),32,flow_success,60,3,1,1,0.0253
1. Static Maze (No Agent),33,flow_success,52,3,1,1,0.0207
1. Static Maze (No Agent),34,flow_success,56,3,1,1,0.0226
1. Static Maze (No Agent),35,flow_success,60,3,1,1,0.0257
1. Static Maze (No Agent),36,flow_success,96,3,1,1,0.0565
1. Static Maze (No Agent),37,flow_success,88,3,1,1,0.0812
1. Static Maze (No Agent),38,too_fast,32,3,1,0,0.01
1. Static Maze (No Agent),39,flow_success,80,3,1,1,0.0387
1. Static Maze (No Agent),40,flow_success,52,3,1,1,0.0199
1. Static Maze (No Agent),41,flow_success,64,3,1,1,0.0284
1. Static Maze (No Agent),42,flow_success,76,3,1,1,0.0383
1. Static Maze (No Agent),43,too_fast,44,3,1,0,0.0161
1. Static Maze (No Agent),44,flow_success,84,3,1,1,0.0453
1. Static Maze (No Agent),45,flow_success,76,3,1,1,0.0362
1. Static Maze (No Agent),46,too_fast,44,3,1,0,0.0151
1. Static Maze (No Agent),47,flow_success,56,3,1,1,0.0228
1. Static Maze (No Agent),48,too_fast,44,3,1,0,0.0155
1. Static Maze (No Agent),49,too_fast,40,3,1,0,0.0133
1. Static Maze (No Agent),50,flow_success,76,3,1,1,0.0384
1. Static Maze (No Agent),51,too_fast,36,3,1,0,0.0116
1. Static Maze (No Agent),52,flow_success,52,3,1,1,0.0196
1. Static Maze (No Agent),53,too_fast,40,3,1,0,0.0132
1. Static Maze (No Agent),54,flow_success,80,3,1,1,0.0414
1. Static Maze (No Agent),55,too_fast,40,3,1,0,0.0132
1. Static Maze (No Agent),56,flow_success,92,3,1,1,0.0514
1. Static Maze (No Agent),57,flow_success,60,3,1,1,0.0248
1. Static Maze (No Agent),58,flow_success,52,3,1,1,0.0208
1. Static Maze (No Agent),59,flow_success,52,3,1,1,0.0199
1. Static Maze (No Agent),60,flow_success,84,3,1,1,0.0464
1. Static Maze (No Agent),61,flow_success,52,3,1,1,0.0206
1. Static Maze (No Agent),62,too_fast,32,3,1,0,0.01
1. Static Maze (No Agent),63,flow_success,60,3,1,1,0.0253
1. Static Maze (No Agent),64,flow_success,52,3,1,1,0.02
1. Static Maze (No Agent),65,flow_success,52,3,1,1,0.02
1. Static Maze (No Agent),66,flow_success,76,3,1,1,0.0363
1. Static Maze (No Agent),67,flow_success,56,3,1,1,0.0225
1. Static Maze (No Agent),68,flow_success,60,3,1,1,0.0254
1. Static Maze (No Agent),69,flow_success,72,3,1,1,0.0343
1. Static Maze (No Agent),70,flow_success,84,3,1,1,0.0448
1. Static Maze (No Agent),71,flow_success,56,3,1,1,0.0235
1. Static Maze (No Agent),72,flow_success,64,3,1,1,0.0309
1. Static Maze (No Agent),73,flow_success,68,3,1,1,0.0335
1. Static Maze (No Agent),74,too_fast,32,3,1,0,0.0099
1. Static Maze (No Agent),75,flow_success,52,3,1,1,0.0195
1. Static Maze (No Agent),76,flow_success,72,3,1,1,0.0324
1. Static Maze (No Agent),77,flow_success,68,3,1,1,0.0301
1. Static Maze (No Agent),78,flow_success,64,3,1,1,0.0277
1. Static Maze (No Agent),79,flow_success,68,3,1,1,0.0315
