Scenario,Episode,Result,Steps,Final_HP,Is_Success,Is_Flow,Real_Time_Sec
1. Static Maze (No Agent),1,flow_success,52,3,1,1,0.0315
1. Static Maze (No Agent),2,flow_success,60,3,1,1,0.0221
1. Static Maze (No Agent),3,flow_success,52,3,1,1,0.0181
1. Static Maze (No Agent),4,flow_success,56,3,1,1,0.0207
1. Static Maze (No Agent),5,flow_success,60,3,1,1,0.0229
1. Static Maze (No Agent),6,too_fast,36,3,1,0,0.0107
1. Static Maze (No Agent),7,flow_success,56,3,1,1,0.0198
1. Static Maze (No Agent),8,too_fast,44,3,1,0,0.0141
1. Static Maze (No Agent),9,too_fast,36,3,1,0,0.0105
1. Static Maze (No Agent),10,too_fast,44,3,1,0,0.0137
1. Static Maze (No Agent),11,too_fast,40,3,1,0,0.0126
1. Static Maze (No Agent),12,flow_success,84,3,1,1,0.0386
1. Static Maze (No Agent),13,too_fast,28,3,1,0,0.0075
1. Static Maze (No Agent),14,flow_success,88,3,1,1,0.0398
1. Static Maze (No Agent),15,flow_success,88,3,1,1,0.0424
1. Static Maze (No Agent),16,flow_success,72,3,1,1,0.0298
1. Static Maze (No Agent),17,flow_success,80,3,1,1,0.0369
1. Static Maze (No Agent),18,too_fast,32,3,1,0,0.01
1. Static Maze (No Agent),19,too_fast,44,3,1,0,0.0146
1. Static Maze (No Agent),20,flow_success,52,3,1,1,0.0188
1. Static Maze (No Agent),21,flow_success,68,3,1,1,0.031
1. Static Maze (No Agent),22,flow_success,84,3,1,1,0.0394
1. Static Maze (No Agent),23,flow_success,52,3,1,1,0.0184
1. Static Maze (No Agent),24,too_fast,36,3,1,0,0.0106
1. Static Maze (No Agent),25,flow_success,68,3,1,1,0.0283
1. Static Maze (No Agent),26,flow_success,84,3,1,1,0.0388
1. Static Maze (No Agent),27,flow_success,64,3,1,1,0.0265
1. Static Maze (No Agent),28,flow_success,52,3,1,1,0.0171
1. Static Maze (No Agent),29,too_fast,44,3,1,0,0.0141
1. Static Maze (No Agent),30,too_fast,48,3,1,0,0.0156
1. Static Maze (No Agent),31,flow_success,84,3,1,1,0.0409
1. Static Maze (No Agent),32,flow_success,60,3,1,1,0.0222
1. Static Maze (No Agent),33,flow_success,52,3,1,1,0.0176
1. Static Maze (No Agent),34,flow_success,56,3,1,1,0.0189
1. Static Maze (No Agent),35,flow_success,60,3,1,1,0.0224
1. Static Maze (No Agent),36,flow_success,96,3,1,1,0.0448
1. Static Maze (No Agent),37,flow_success,88,3,1,1,0.0423
1. Static Maze (No Agent),38,too_fast,32,3,1,0,0.0099
1. Static Maze (No Agent),39,flow_success,80,3,1,1,0.0342
1. Static Maze (No Agent),40,flow_success,52,3,1,1,0.0176
1. Static Maze (No Agent),41,flow_success,64,3,1,1,0.0252
1. Static Maze (No Agent),42,flow_success,76,3,1,1,0.0343
1. Static Maze (No Agent),43,too_fast,44,3,1,0,0.0143
1. Static Maze (No Agent),44,flow_success,84,3,1,1,0.0399
1. Static Maze (No Agent),45,flow_success,76,3,1,1,0.0324
1. Static Maze (No Agent),46,too_fast,44,3,1,0,0.0138
1. Static Maze (No Agent),47,flow_success,56,3,1,1,0.0207
1. Static Maze (No Agent),48,too_fast,44,3,1,0,0.0143
1. Static Maze (No Agent),49,too_fast,40,3,1,0,0.0121
1. Static Maze (No Agent),50,flow_success,76,3,1,1,0.035
1. Static Maze (No Agent),51,too_fast,36,3,1,0,0.0108
1. Static Maze (No Agent),52,flow_success,52,3,1,1,0.0182
1. Static Maze (No Agent),53,too_fast,40,3,1,0,0.0122
1. Static Maze (No Agent),54,flow_success,80,3,1,1,0.0369
1. Static Maze (No Agent),55,too_fast,40,3,1,0,0.0122
1. Static Maze (No Agent),56,flow_success,92,3,1,1,0.0452
1. Static Maze (No Agent),57,flow_success,60,3,1,1,0.0224
1. Static Maze (No Agent),58,flow_success,52,3,1,1,0.0188
1. Static Maze (No Agent),59,flow_success,52,3,1,1,0.0181
1. Static Maze (No Agent),60,flow_success,84,3,1,1,0.041
1. Static Maze (No Agent),61,flow_success,52,3,1,1,0.0187
1. Static Maze (No Agent),62,too_fast,32,3,1,0,0.0094
1. Static Maze (No Agent),63,flow_success,60,3,1,1,0.0228
1. Static Maze (No Agent),64,flow_success,52,3,1,1,0.0179
1. Static Maze (No Agent),65,flow_success,52,3,1,1,0.018
1. Static Maze (No Agent),66,flow_success,76,3,1,1,0.032
1. Static Maze (No Agent),67,flow_success,56,3,1,1,0.02
1. Static Maze (No Agent),68,flow_success,60,3,1,1,0.0223
1. Static Maze (No Agent),69,flow_success,72,3,1,1,0.0304
1. Static Maze (No Agent),70,flow_success,84,3,1,1,0.0393
1. Static Maze (No Agent),71,flow_success,56,3,1,1,0.0209
1. Static Maze (No Agent),72,flow_success,64,3,1,1,0.0264
1. Static Maze (No Agent),73,flow_success,68,3,1,1,0.0291
1. Static Maze (No Agent),74,too_fast,32,3,1,0,0.009
1. Static Maze (No Agent),75,flow_success,52,3,1,1,0.0171
1. Static Maze (No Agent),76,flow_success,72,3,1,1,0.0286
1. Static Maze (No Agent),77,flow_success,68,3,1,1,0.0265
1. Static Maze (No Agent),78,flow_success,64,3,1,1,0.0246
1. Static Maze (No Agent),79,flow_success,68,3,1,1,0.0274
1. Static Maze (No Agent),80,flow_success,56,3,1,1,0.0196
1. Static Maze (No Agent),81,flow_success,60,3,1,1,0.0228
1. Static Maze (No Agent),82,flow_success,56,3,1,1,0.0192
1. Static Maze (No Agent),83,too_fast,40,3,1,0,0.0121
1. Static Maze (No Agent),84,flow_success,56,3,1,1,0.0194
1. Static Maze (No Agent),85,flow_success,76,3,1,1,0.0347
1. Static Maze (No Agent),86,too_fast,40,3,1,0,0.0121
1. Static Maze (No Agent),87,too_fast,44,3,1,0,0.0141
1. Static Maze (No Agent),88,too_fast,48,3,1,0,0.0164
1. Static Maze (No Agent),89,flow_success,52,3,1,1,0.0186
1. Static Maze (No Agent),90,flow_success,60,3,1,1,0.0226
1. Static Maze (No Agent),91,flow_success,88,3,1,1,0.0445
1. Static Maze (No Agent),92,flow_success,60,3,1,1,0.0225
1. Static Maze (No Agent),93,flow_success,68,3,1,1,0.0292
1. Static Maze (No Agent),94,flow_success,52,3,1,1,0.0184
1. Static Maze (No Agent),95,flow_success,64,3,1,1,0.0257
1. Static Maze (No Agent),96,too_fast,48,3,1,0,0.0152
1. Static Maze (No Agent),97,flow_success,72,3,1,1,0.0284
1. Static Maze (No Agent),98,too_fast,48,3,1,0,0.0152
1. Static Maze (No Agent),99,flow_success,84,3,1,1,0.0383
1. Static Maze (No Agent),100,flow_success,64,3,1,1,0.0268
2. Walls Only,1,flow_success,52,3,1,1,0.0192
2. Walls Only,2,flow_success,56,3,1,1,0.0214
2. Walls Only,3,too_fast,32,3,1,0,0.0088
2. Walls Only,4,flow_success,68,3,1,1,0.0283
2. Walls Only,5,flow_success,80,3,1,1,0.0344
2. Walls Only,6,too_fast,44,3,1,0,0.0136
2. Walls Only,7,too_fast,40,3,1,0,0.0119
2. Walls Only,8,flow_success,76,3,1,1,0.0327
2. Walls Only,9,flow_success,80,3,1,1,0.0362
2. Walls Only,10,flow_success,80,3,1,1,0.0354
2. Walls Only,11,flow_success,92,3,1,1,0.0459
2. Walls Only,12,flow_success,56,3,1,1,0.0198
2. Walls Only,13,too_fast,48,3,1,0,0.0152
2. Walls Only,14,flow_success,60,3,1,1,0.0229
2. Walls Only,15,flow_success,56,3,1,1,0.0198
2. Walls Only,16,too_fast,36,3,1,0,0.0106
2. Walls Only,17,flow_success,76,3,1,1,0.033
2. Walls Only,18,flow_success,96,3,1,1,0.0512
2. Walls Only,19,too_fast,36,3,1,0,0.0113
2. Walls Only,20,flow_success,68,3,1,1,0.0285
2. Walls Only,21,flow_success,56,3,1,1,0.0207
2. Walls Only,22,too_fast,36,3,1,0,0.0106
2. Walls Only,23,too_fast,32,3,1,0,0.0092
2. Walls Only,24,too_fast,36,3,1,0,0.0106
2. Walls Only,25,flow_success,60,3,1,1,0.022
2. Walls Only,26,too_fast,32,3,1,0,0.009
2. Walls Only,27,flow_success,72,3,1,1,0.0332
