Scenario,Episode,Result,Steps,Final_HP,Is_Success,Is_Flow,Real_Time_Sec
1. Static Maze (No Agent),1,flow_success,52,1,1,1,0.0207
1. Static Maze (No Agent),2,too_fast,44,1,1,0,0.0242
1. Static Maze (No Agent),3,too_fast,44,2,1,0,0.0168
1. Static Maze (No Agent),4,flow_success,56,2,1,1,0.0217
1. Static Maze (No Agent),5,too_fast,28,3,1,0,0.008
1. Static Maze (No Agent),6,flow_success,80,3,1,1,0.0358
1. Static Maze (No Agent),7,too_fast,40,3,1,0,0.0182
1. Static Maze (No Agent),8,flow_success,68,2,1,1,0.0313
1. Static Maze (No Agent),9,flow_success,60,3,1,1,0.0237
1. Static Maze (No Agent),10,flow_success,84,3,1,1,0.042
1. Static Maze (No Agent),11,flow_success,64,1,1,1,0.032
1. Static Maze (No Agent),12,flow_success,52,1,1,1,0.02
1. Static Maze (No Agent),13,flow_success,56,3,1,1,0.0201
1. Static Maze (No Agent),14,too_fast,44,3,1,0,0.014
1. Static Maze (No Agent),15,too_fast,44,1,1,0,0.0169
1. Static Maze (No Agent),16,flow_success,64,2,1,1,0.0288
1. Static Maze (No Agent),17,flow_success,60,2,1,1,0.0239
1. Static Maze (No Agent),18,too_fast,36,3,1,0,0.0108
1. Static Maze (No Agent),19,flow_success,84,2,1,1,0.0428
1. Static Maze (No Agent),20,flow_success,60,1,1,1,0.0262
1. Static Maze (No Agent),21,flow_success,52,2,1,1,0.0197
1. Static Maze (No Agent),22,too_fast,48,3,1,0,0.0158
1. Static Maze (No Agent),23,flow_success,52,3,1,1,0.0195
1. Static Maze (No Agent),24,flow_success,72,1,1,1,0.0368
1. Static Maze (No Agent),25,flow_success,72,1,1,1,0.0313
1. Static Maze (No Agent),26,too_fast,28,3,1,0,0.0077
1. Static Maze (No Agent),27,too_fast,44,1,1,0,0.0176
1. Static Maze (No Agent),28,flow_success,84,2,1,1,0.0442
1. Static Maze (No Agent),29,too_fast,44,3,1,0,0.0171
1. Static Maze (No Agent),30,too_fast,32,3,1,0,0.0096
1. Static Maze (No Agent),31,flow_success,64,1,1,1,0.0262
1. Static Maze (No Agent),32,too_fast,36,2,1,0,0.0112
1. Static Maze (No Agent),33,flow_success,52,1,1,1,0.0213
1. Static Maze (No Agent),34,too_fast,40,1,1,0,0.0136
1. Static Maze (No Agent),35,flow_success,52,3,1,1,0.0189
1. Static Maze (No Agent),36,too_fast,36,1,1,0,0.0123
1. Static Maze (No Agent),37,too_fast,48,3,1,0,0.0179
1. Static Maze (No Agent),38,flow_success,52,2,1,1,0.0197
1. Static Maze (No Agent),39,flow_success,56,2,1,1,0.0236
1. Static Maze (No Agent),40,too_fast,48,2,1,0,0.0174
1. Static Maze (No Agent),41,flow_success,68,3,1,1,0.0298
1. Static Maze (No Agent),42,flow_success,64,2,1,1,0.0347
1. Static Maze (No Agent),43,too_fast,40,1,1,0,0.0188
1. Static Maze (No Agent),44,too_fast,48,1,1,0,0.0205
1. Static Maze (No Agent),45,too_fast,40,3,1,0,0.0135
1. Static Maze (No Agent),46,flow_success,80,3,1,1,0.0386
