Scenario,Episode,Result,Steps,Final_HP,Is_Success,Is_Flow,Real_Time_Sec
1. Static Maze (No Agent),1,flow_success,52,3,1,1,0.0323
1. Static Maze (No Agent),2,flow_success,60,3,1,1,0.0248
1. Static Maze (No Agent),3,flow_success,52,3,1,1,0.0199
1. Static Maze (No Agent),4,flow_success,56,3,1,1,0.0225
1. Static Maze (No Agent),5,flow_success,60,3,1,1,0.0254
1. Static Maze (No Agent),6,too_fast,36,3,1,0,0.0114
1. Static Maze (No Agent),7,flow_success,56,3,1,1,0.0218
1. Static Maze (No Agent),8,too_fast,44,3,1,0,0.0153
1. Static Maze (No Agent),9,too_fast,36,3,1,0,0.0114
1. Static Maze (No Agent),10,too_fast,44,3,1,0,0.0151
1. Static Maze (No Agent),11,too_fast,40,3,1,0,0.0131
1. Static Maze (No Agent),12,flow_success,84,3,1,1,0.0491
1. Static Maze (No Agent),13,too_fast,28,3,1,0,0.0101
1. Static Maze (No Agent),14,flow_success,88,3,1,1,0.049
1. Static Maze (No Agent),15,flow_success,88,3,1,1,0.0557
1. Static Maze (No Agent),16,flow_success,72,3,1,1,0.034
1. Static Maze (No Agent),17,flow_success,80,3,1,1,0.0396
1. Static Maze (No Agent),18,too_fast,32,3,1,0,0.0097
1. Static Maze (No Agent),19,too_fast,44,3,1,0,0.0155
1. Static Maze (No Agent),20,flow_success,52,3,1,1,0.02
1. Static Maze (No Agent),21,flow_success,68,3,1,1,0.0335
1. Static Maze (No Agent),22,flow_success,84,3,1,1,0.0425
1. Static Maze (No Agent),23,flow_success,52,3,1,1,0.0197
1. Static Maze (No Agent),24,too_fast,36,3,1,0,0.0114
1. Static Maze (No Agent),25,flow_success,68,3,1,1,0.0306
1. Static Maze (No Agent),26,flow_success,84,3,1,1,0.0408
1. Static Maze (No Agent),27,flow_success,64,3,1,1,0.0283
1. Static Maze (No Agent),28,flow_success,52,3,1,1,0.0197
1. Static Maze (No Agent),29,too_fast,44,3,1,0,0.0174
1. Static Maze (No Agent),30,too_fast,48,3,1,0,0.0175
1. Static Maze (No Agent),31,flow_success,84,3,1,1,0.0448
1. Static Maze (No Agent),32,flow_success,60,3,1,1,0.0242
1. Static Maze (No Agent),33,flow_success,52,3,1,1,0.0192
1. Static Maze (No Agent),34,flow_success,56,3,1,1,0.0206
1. Static Maze (No Agent),35,flow_success,60,3,1,1,0.0244
1. Static Maze (No Agent),36,flow_success,96,3,1,1,0.0503
1. Static Maze (No Agent),37,flow_success,88,3,1,1,0.0442
1. Static Maze (No Agent),38,too_fast,32,3,1,0,0.0095
1. Static Maze (No Agent),39,flow_success,80,3,1,1,0.0379
1. Static Maze (No Agent),40,flow_success,52,3,1,1,0.0236
1. Static Maze (No Agent),41,flow_success,64,3,1,1,0.0305
1. Static Maze (No Agent),42,flow_success,76,3,1,1,0.0367
1. Static Maze (No Agent),43,too_fast,44,3,1,0,0.015
1. Static Maze (No Agent),44,flow_success,84,3,1,1,0.0457
1. Static Maze (No Agent),45,flow_success,76,3,1,1,0.0377
1. Static Maze (No Agent),46,too_fast,44,3,1,0,0.0146
1. Static Maze (No Agent),47,flow_success,56,3,1,1,0.0217
1. Static Maze (No Agent),48,too_fast,44,3,1,0,0.0148
1. Static Maze (No Agent),49,too_fast,40,3,1,0,0.0127
1. Static Maze (No Agent),50,flow_success,76,3,1,1,0.0371
1. Static Maze (No Agent),51,too_fast,36,3,1,0,0.0114
1. Static Maze (No Agent),52,flow_success,52,3,1,1,0.0189
1. Static Maze (No Agent),53,too_fast,40,3,1,0,0.0126
1. Static Maze (No Agent),54,flow_success,80,3,1,1,0.0391
1. Static Maze (No Agent),55,too_fast,40,3,1,0,0.0126
1. Static Maze (No Agent),56,flow_success,92,3,1,1,0.0483
1. Static Maze (No Agent),57,flow_success,60,3,1,1,0.0232
1. Static Maze (No Agent),58,flow_success,52,3,1,1,0.0195
1. Static Maze (No Agent),59,flow_success,52,3,1,1,0.0188
1. Static Maze (No Agent),60,flow_success,84,3,1,1,0.0435
1. Static Maze (No Agent),61,flow_success,52,3,1,1,0.0198
1. Static Maze (No Agent),62,too_fast,32,3,1,0,0.0097
1. Static Maze (No Agent),63,flow_success,60,3,1,1,0.0235
