Scenario,Episode,Result,Steps,Final_HP,Is_Success,Is_Flow,Real_Time_Sec
1. Static Maze (No Agent),1,flow_success,52,3,1,1,0.0298
1. Static Maze (No Agent),2,flow_success,60,3,1,1,0.022
1. Static Maze (No Agent),3,flow_success,52,3,1,1,0.0178
1. Static Maze (No Agent),4,flow_success,56,3,1,1,0.0204
1. Static Maze (No Agent),5,flow_success,60,3,1,1,0.0226
1. Static Maze (No Agent),6,too_fast,36,3,1,0,0.0119
1. Static Maze (No Agent),7,flow_success,56,3,1,1,0.0216
1. Static Maze (No Agent),8,too_fast,44,3,1,0,0.0146
1. Static Maze (No Agent),9,too_fast,36,3,1,0,0.0112
1. Static Maze (No Agent),10,too_fast,44,3,1,0,0.0141
1. Static Maze (No Agent),11,too_fast,40,3,1,0,0.0123
1. Static Maze (No Agent),12,flow_success,84,3,1,1,0.039
1. Static Maze (No Agent),13,too_fast,28,3,1,0,0.0076
1. Static Maze (No Agent),14,flow_success,88,3,1,1,0.0389
1. Static Maze (No Agent),15,flow_success,88,3,1,1,0.042
1. Static Maze (No Agent),16,flow_success,72,3,1,1,0.0297
1. Static Maze (No Agent),17,flow_success,80,3,1,1,0.0346
1. Static Maze (No Agent),18,too_fast,32,3,1,0,0.0089
1. Static Maze (No Agent),19,too_fast,44,3,1,0,0.014
1. Static Maze (No Agent),20,flow_success,52,3,1,1,0.0182
1. Static Maze (No Agent),21,flow_success,68,3,1,1,0.0305
1. Static Maze (No Agent),22,flow_success,84,3,1,1,0.039
1. Static Maze (No Agent),23,flow_success,52,3,1,1,0.0182
1. Static Maze (No Agent),24,too_fast,36,3,1,0,0.0106
1. Static Maze (No Agent),25,flow_success,68,3,1,1,0.028
1. Static Maze (No Agent),26,flow_success,84,3,1,1,0.0372
1. Static Maze (No Agent),27,flow_success,64,3,1,1,0.0259
1. Static Maze (No Agent),28,flow_success,52,3,1,1,0.0175
1. Static Maze (No Agent),29,too_fast,44,3,1,0,0.0142
1. Static Maze (No Agent),30,too_fast,48,3,1,0,0.0159
