Scenario,Episode,Result,Steps,Final_HP,Is_Success,Is_Flow,Real_Time_Sec
1. Static Maze (No Agent),1,flow_success,52,3,1,1,0.0317
1. Static Maze (No Agent),2,flow_success,60,3,1,1,0.0236
1. Static Maze (No Agent),3,flow_success,52,3,1,1,0.0181
1. Static Maze (No Agent),4,flow_success,56,3,1,1,0.0203
1. Static Maze (No Agent),5,flow_success,60,3,1,1,0.0226
1. Static Maze (No Agent),6,too_fast,36,3,1,0,0.0104
1. Static Maze (No Agent),7,flow_success,56,3,1,1,0.0202
1. Static Maze (No Agent),8,too_fast,44,3,1,0,0.0142
1. Static Maze (No Agent),9,too_fast,36,3,1,0,0.0106
1. Static Maze (No Agent),10,too_fast,44,3,1,0,0.0137
1. Static Maze (No Agent),11,too_fast,40,3,1,0,0.0127
1. Static Maze (No Agent),12,flow_success,84,3,1,1,0.0382
1. Static Maze (No Agent),13,too_fast,28,3,1,0,0.0076
1. Static Maze (No Agent),14,flow_success,88,3,1,1,0.0388
1. Static Maze (No Agent),15,flow_success,88,3,1,1,0.0429
1. Static Maze (No Agent),16,flow_success,72,3,1,1,0.0345
1. Static Maze (No Agent),17,flow_success,80,3,1,1,0.0345
1. Static Maze (No Agent),18,too_fast,32,3,1,0,0.0088
1. Static Maze (No Agent),19,too_fast,44,3,1,0,0.0139
1. Static Maze (No Agent),20,flow_success,52,3,1,1,0.018
1. Static Maze (No Agent),21,flow_success,68,3,1,1,0.0299
1. Static Maze (No Agent),22,flow_success,84,3,1,1,0.0375
1. Static Maze (No Agent),23,flow_success,52,3,1,1,0.0179
1. Static Maze (No Agent),24,too_fast,36,3,1,0,0.0106
1. Static Maze (No Agent),25,flow_success,68,3,1,1,0.0273
1. Static Maze (No Agent),26,flow_success,84,3,1,1,0.0363
1. Static Maze (No Agent),27,flow_success,64,3,1,1,0.0254
1. Static Maze (No Agent),28,flow_success,52,3,1,1,0.0166
1. Static Maze (No Agent),29,too_fast,44,3,1,0,0.0137
1. Static Maze (No Agent),30,too_fast,48,3,1,0,0.0154
1. Static Maze (No Agent),31,flow_success,84,3,1,1,0.0397
1. Static Maze (No Agent),32,flow_success,60,3,1,1,0.0215
1. Static Maze (No Agent),33,flow_success,52,3,1,1,0.0171
1. Static Maze (No Agent),34,flow_success,56,3,1,1,0.0185
