Scenario,Episode,Result,Steps,Final_HP,Is_Success,Is_Flow,Real_Time_Sec
1. Static Maze (No Agent),1,flow_success,52,3,1,1,0.0312
1. Static Maze (No Agent),2,flow_success,60,3,1,1,0.0218
1. Static Maze (No Agent),3,flow_success,52,3,1,1,0.0177
1. Static Maze (No Agent),4,flow_success,56,3,1,1,0.0201
1. Static Maze (No Agent),5,flow_success,60,3,1,1,0.0241
1. Static Maze (No Agent),6,too_fast,36,3,1,0,0.0105
1. Static Maze (No Agent),7,flow_success,56,3,1,1,0.0194
1. Static Maze (No Agent),8,too_fast,44,3,1,0,0.0139
1. Static Maze (No Agent),9,too_fast,36,3,1,0,0.0104
1. Static Maze (No Agent),10,too_fast,44,3,1,0,0.0135
1. Static Maze (No Agent),11,too_fast,40,3,1,0,0.0127
1. Static Maze (No Agent),12,flow_success,84,3,1,1,0.0375
1. Static Maze (No Agent),13,too_fast,28,3,1,0,0.0074
1. Static Maze (No Agent),14,flow_success,88,3,1,1,0.0383
1. Static Maze (No Agent),15,flow_success,88,3,1,1,0.0408
1. Static Maze (No Agent),16,flow_success,72,3,1,1,0.0289
1. Static Maze (No Agent),17,flow_success,80,3,1,1,0.0338
1. Static Maze (No Agent),18,too_fast,32,3,1,0,0.0087
1. Static Maze (No Agent),19,too_fast,44,3,1,0,0.0138
1. Static Maze (No Agent),20,flow_success,52,3,1,1,0.0177
1. Static Maze (No Agent),21,flow_success,68,3,1,1,0.0298
1. Static Maze (No Agent),22,flow_success,84,3,1,1,0.0373
1. Static Maze (No Agent),23,flow_success,52,3,1,1,0.0178
1. Static Maze (No Agent),24,too_fast,36,3,1,0,0.0104
1. Static Maze (No Agent),25,flow_success,68,3,1,1,0.0275
1. Static Maze (No Agent),26,flow_success,84,3,1,1,0.0362
1. Static Maze (No Agent),27,flow_success,64,3,1,1,0.0268
1. Static Maze (No Agent),28,flow_success,52,3,1,1,0.0167
1. Static Maze (No Agent),29,too_fast,44,3,1,0,0.0138
1. Static Maze (No Agent),30,too_fast,48,3,1,0,0.0154
1. Static Maze (No Agent),31,flow_success,84,3,1,1,0.0401
1. Static Maze (No Agent),32,flow_success,60,3,1,1,0.0217
1. Static Maze (No Agent),33,flow_success,52,3,1,1,0.0172
1. Static Maze (No Agent),34,flow_success,56,3,1,1,0.0187
1. Static Maze (No Agent),35,flow_success,60,3,1,1,0.0218
1. Static Maze (No Agent),36,flow_success,96,3,1,1,0.0432
1. Static Maze (No Agent),37,flow_success,88,3,1,1,0.0389
1. Static Maze (No Agent),38,too_fast,32,3,1,0,0.0086
1. Static Maze (No Agent),39,flow_success,80,3,1,1,0.032
1. Static Maze (No Agent),40,flow_success,52,3,1,1,0.0168
1. Static Maze (No Agent),41,flow_success,64,3,1,1,0.0244
1. Static Maze (No Agent),42,flow_success,76,3,1,1,0.0321
1. Static Maze (No Agent),43,too_fast,44,3,1,0,0.0138
1. Static Maze (No Agent),44,flow_success,84,3,1,1,0.0377
1. Static Maze (No Agent),45,flow_success,76,3,1,1,0.031
1. Static Maze (No Agent),46,too_fast,44,3,1,0,0.0133
1. Static Maze (No Agent),47,flow_success,56,3,1,1,0.0198
1. Static Maze (No Agent),48,too_fast,44,3,1,0,0.0136
1. Static Maze (No Agent),49,too_fast,40,3,1,0,0.0118
1. Static Maze (No Agent),50,flow_success,76,3,1,1,0.0326
1. Static Maze (No Agent),51,too_fast,36,3,1,0,0.0105
1. Static Maze (No Agent),52,flow_success,52,3,1,1,0.0173
1. Static Maze (No Agent),53,too_fast,40,3,1,0,0.0117
1. Static Maze (No Agent),54,flow_success,80,3,1,1,0.035
1. Static Maze (No Agent),55,too_fast,40,3,1,0,0.0117
1. Static Maze (No Agent),56,flow_success,92,3,1,1,0.043
1. Static Maze (No Agent),57,flow_success,60,3,1,1,0.0211
1. Static Maze (No Agent),58,flow_success,52,3,1,1,0.018
1. Static Maze (No Agent),59,flow_success,52,3,1,1,0.0172
1. Static Maze (No Agent),60,flow_success,84,3,1,1,0.039
1. Static Maze (No Agent),61,flow_success,52,3,1,1,0.0183
1. Static Maze (No Agent),62,too_fast,32,3,1,0,0.0091
1. Static Maze (No Agent),63,flow_success,60,3,1,1,0.0215
1. Static Maze (No Agent),64,flow_success,52,3,1,1,0.0171
1. Static Maze (No Agent),65,flow_success,52,3,1,1,0.0171
1. Static Maze (No Agent),66,flow_success,76,3,1,1,0.0305
1. Static Maze (No Agent),67,flow_success,56,3,1,1,0.0191
1. Static Maze (No Agent),68,flow_success,60,3,1,1,0.0213
1. Static Maze (No Agent),69,flow_success,72,3,1,1,0.0289
1. Static Maze (No Agent),70,flow_success,84,3,1,1,0.0375
1. Static Maze (No Agent),71,flow_success,56,3,1,1,0.0202
